film_id,title,description,length,rating,language,category,copies_available,is_long_film
1,"academy dinosaur","a epic drama of a feminist and a mad scientist who must battle a teacher in the canadian rockies",86,pg,english,documentary,8,0
2,"ace goldfinger","a astounding epistle of a database administrator and a explorer who must find a car in ancient china",48,g,english,horror,3,0
3,"adaptation holes","a astounding reflection of a lumberjack and a car who must sink a lumberjack in a baloon factory",50,nc-17,english,documentary,4,0
4,"affair prejudice","a fanciful documentary of a frisbee and a lumberjack who must chase a monkey in a shark tank",117,g,english,horror,7,0
5,"african egg","a fast-paced documentary of a pastry chef and a dentist who must pursue a forensic psychologist in the gulf of mexico",130,g,english,family,3,1
6,"agent truman","a intrepid panorama of a robot and a boy who must escape a sumo wrestler in ancient china",169,pg,english,foreign,6,1
7,"airplane sierra","a touching saga of a hunter and a butler who must discover a butler in a jet boat",62,pg-13,english,comedy,5,0
8,"airport pollock","a epic tale of a moose and a girl who must confront a monkey in ancient india",54,r,english,horror,4,0
9,"alabama devil","a thoughtful panorama of a database administrator and a mad scientist who must outgun a mad scientist in a jet boat",114,pg-13,english,horror,5,0
10,"aladdin calendar","a action-packed tale of a man and a lumberjack who must reach a feminist in ancient china",63,nc-17,english,sports,7,0
11,"alamo videotape","a boring epistle of a butler and a cat who must fight a pastry chef in a mysql convention",126,g,english,foreign,7,1
12,"alaska phantom","a fanciful saga of a hunter and a pastry chef who must vanquish a boy in australia",136,pg,english,music,7,1
13,"ali forever","a action-packed drama of a dentist and a crocodile who must battle a feminist in the canadian rockies",150,pg,english,horror,4,1
14,"alice fantasia","a emotional drama of a a shark and a database administrator who must vanquish a pioneer in soviet georgia",94,nc-17,english,classics,0,0
15,"alien center","a brilliant drama of a cat and a mad scientist who must battle a feminist in a mysql convention",46,nc-17,english,foreign,6,0
16,"alley evolution","a fast-paced drama of a robot and a composer who must battle a astronaut in new orleans",180,nc-17,english,foreign,4,1
17,"alone trip","a fast-paced character study of a composer and a dog who must outgun a boat in an abandoned fun house",82,r,english,music,6,0
18,"alter victory","a thoughtful drama of a composer and a feminist who must meet a secret agent in the canadian rockies",57,pg-13,english,animation,6,0
19,"amadeus holy","a emotional display of a pioneer and a technical writer who must battle a man in a baloon",113,pg,english,action,6,0
20,"amelie hellfighters","a boring drama of a woman and a squirrel who must conquer a student in a baloon",79,r,english,music,3,0
21,"american circus","a insightful drama of a girl and a astronaut who must face a database administrator in a shark tank",129,r,english,action,6,1
22,"amistad midsummer","a emotional character study of a dentist and a crocodile who must meet a sumo wrestler in california",85,g,english,new,7,0
23,"anaconda confessions","a lacklusture display of a dentist and a dentist who must fight a girl in australia",92,r,english,animation,5,0
24,"analyze hoosiers","a thoughtful display of a explorer and a pastry chef who must overcome a feminist in the sahara desert",181,r,english,horror,4,1
25,"angels life","a thoughtful display of a woman and a astronaut who must battle a robot in berlin",74,g,english,new,6,0
26,"annie identity","a amazing panorama of a pastry chef and a boat who must escape a woman in an abandoned amusement park",86,g,english,sci-fi,5,0
27,"anonymous human","a amazing reflection of a database administrator and a astronaut who must outrace a database administrator in a shark tank",179,nc-17,english,sports,4,1
28,"anthem luke","a touching panorama of a waitress and a woman who must outrace a dog in an abandoned amusement park",91,pg-13,english,comedy,3,0
29,"antitrust tomatoes","a fateful yarn of a womanizer and a feminist who must succumb a database administrator in ancient india",168,nc-17,english,action,2,1
30,"anything savannah","a epic story of a pastry chef and a woman who must chase a feminist in an abandoned fun house",82,r,english,horror,2,0
31,"apache divine","a awe-inspiring reflection of a pastry chef and a teacher who must overcome a sumo wrestler in a u-boat",92,nc-17,english,family,8,0
32,"apocalypse flamingos","a astounding story of a dog and a squirrel who must defeat a woman in an abandoned amusement park",119,r,english,new,2,0
33,"apollo teen","a action-packed reflection of a crocodile and a explorer who must find a sumo wrestler in an abandoned mine shaft",153,pg-13,english,drama,0,1
34,"arabia dogma","a touching epistle of a madman and a mad cow who must defeat a student in nigeria",62,nc-17,english,horror,4,0
35,"arachnophobia rollercoaster","a action-packed reflection of a pastry chef and a composer who must discover a mad scientist in the first manned space station",147,pg-13,english,horror,7,1
36,"argonauts town","a emotional epistle of a forensic psychologist and a butler who must challenge a waitress in an abandoned mine shaft",127,pg-13,english,animation,0,1
37,"arizona bang","a brilliant panorama of a mad scientist and a mad cow who must meet a pioneer in a monastery",121,pg,english,classics,7,1
38,"ark ridgemont","a beautiful yarn of a pioneer and a monkey who must pursue a explorer in the sahara desert",68,nc-17,english,action,0,0
39,"armageddon lost","a fast-paced tale of a boat and a teacher who must succumb a composer in an abandoned mine shaft",99,g,english,sci-fi,7,0
40,"army flintstones","a boring saga of a database administrator and a womanizer who must battle a waitress in nigeria",148,r,english,documentary,4,1
41,"arsenic independence","a fanciful documentary of a mad cow and a womanizer who must find a dentist in berlin",137,pg,english,travel,0,1
42,"artist coldblooded","a stunning reflection of a robot and a moose who must challenge a woman in california",170,nc-17,english,sports,4,1
43,"atlantis cause","a thrilling yarn of a feminist and a hunter who must fight a technical writer in a shark tank",170,g,english,family,7,1
44,"attacks hate","a fast-paced panorama of a technical writer and a mad scientist who must find a feminist in an abandoned mine shaft",113,pg-13,english,sci-fi,5,0
45,"attraction newton","a astounding panorama of a composer and a frisbee who must reach a husband in ancient japan",83,pg-13,english,new,6,0
46,"autumn crow","a beautiful tale of a dentist and a mad cow who must battle a moose in the sahara desert",108,g,english,games,3,0
